layer,probe,auc_mean,auc_std,ap_mean,ap_std,acc_mean,f1_mean
0,LogisticReg,0.7366345505207942,0.007856855469189862,0.8809128281223254,0.010675583954430662,0.7444201046610686,0.8330567740232904
0,Ridge,0.7427125197905249,0.03323351101834811,0.8786759637514061,0.0076056128467392025,0.732420591456736,0.842288522307093
0,LinearSVC,0.600794482146852,0.09818143487590751,0.8131904936434232,0.05891702036656889,0.7223317512474138,0.8384070504900749
0,SGD,0.6341688648940921,0.014652003836451561,0.7794757654875961,0.008298898259833107,0.7424729219909944,0.8310134023868964
0,LDA,0.6986281376565427,0.005896811176921643,0.8468554960621839,0.0045244150234661756,0.7343799440184983,0.8210458411645937
0,GaussianNB,0.6851868298969296,0.03944063577427892,0.8208963100943549,0.03050982298748822,0.5935864670804429,0.6638478819502445
0,RBF-SVM,0.7582073347377802,0.023406957049367558,0.8802827584374947,0.008481096843754114,0.7364244858220762,0.8434883792330602
0,KNN,0.6737508000424962,0.01356548025285022,0.8151231489321514,0.0128921365311147,0.6880978459291712,0.7849581435154681
0,RandomForest,0.6781831596344983,0.016607436056180834,0.8321266098715597,0.02457839136952761,0.7223074114640379,0.8357530110052722
0,GradBoosting,0.7129842146541009,0.022494331563247635,0.8470008496397389,0.0015411549643747772,0.7524887428501886,0.8483152489517461
0,ExtraTrees,0.6826584256891163,0.024161757373819166,0.8338237091009256,0.019761518567135764,0.7323962516733601,0.842229216401332
0,NN-DeepLinear,0.7567720412247539,0.025206273671961075,0.8756720982656278,0.02842331640604461,0.6941219423147134,0.7643922386305654
0,NN-Residual,0.7430181770518877,0.03280159842482039,0.8779957674248887,0.0202837121285308,0.7383838383838385,0.8147487519564218
0,NN-Attention,0.6914866517066279,0.005362041528315008,0.817308575740164,0.022305264332984635,0.6920287209443835,0.7726667657065195
0,NN-Bottleneck,0.7550784343956516,0.02379320839404193,0.8666855414954678,0.012348888067637455,0.728368017524644,0.8081010146660299
0,NN-LayerNorm,0.7578094728486523,0.010564023682208707,0.8787958476951312,0.016515307301261994,0.694243641231593,0.773419364798675
1,LogisticReg,0.7386701674194192,0.018255453396056366,0.8686702985949939,0.02605247981138483,0.7384203480589022,0.8241438699979922
1,Ridge,0.7334531993494284,0.02484270227215104,0.8651846368241308,0.008940894223388665,0.7203237191188999,0.8354551155934176
1,LinearSVC,0.5797857116944835,0.11231314617510729,0.7941257206388265,0.08142817198284016,0.7203237191188999,0.8374255758243897
1,SGD,0.6210702474020753,0.02251935612664595,0.7735291403922911,0.009342711909557147,0.730388219544846,0.822572810978608
1,LDA,0.7290225186590208,0.008845492974394251,0.8669540136290615,0.005003542625066807,0.7142996227333577,0.8053903628414191
1,GaussianNB,0.7126082054776891,0.025815200429830588,0.8342782853729384,0.019236193656124157,0.682073749543629,0.7575921082931641
1,RBF-SVM,0.7687130209777404,0.00687003358166453,0.8913315904754867,0.0054953595861868924,0.7364123159303883,0.8430827634064251
1,KNN,0.6952492321319523,0.039638879574798926,0.8219717291832084,0.020399316535264098,0.7384568577339662,0.8307748300954824
1,RandomForest,0.713838440865091,0.011114536330861494,0.844574922816638,0.009847386920185887,0.7263721552878178,0.8373261933428239
1,GradBoosting,0.6916482365379083,0.01920083390459474,0.8573554416289805,0.009653343432331575,0.7283801874163319,0.8331116666829855
1,ExtraTrees,0.7126876482939769,0.035486794643013984,0.8561638054361871,0.016980876132066187,0.7424607520993063,0.8472659060540652
1,NN-DeepLinear,0.7608731767452586,0.034742862770581195,0.8658954206387092,0.033471293046471444,0.7142022635998541,0.7818453712376168
1,NN-Residual,0.7705604011570709,0.018800256488300686,0.8835144329111948,0.02051533551927683,0.7303638797614701,0.807450591586659
1,NN-Attention,0.7024077284321066,0.013460406816730192,0.8388055488926932,0.014118939622158695,0.6820372398685652,0.764087336894848
1,NN-Bottleneck,0.7658805520358004,0.01661872147031583,0.8800533816044873,0.016944839909807278,0.7303517098697822,0.8086272165770073
1,NN-LayerNorm,0.7635737844320584,0.017817225052846122,0.8808565625642286,0.016791229007486027,0.7484970183765364,0.8256624825662483
2,LogisticReg,0.7698751285898263,0.02170402566460083,0.8900312689842232,0.019909500750317943,0.7545211147620786,0.8349682259735168
2,Ridge,0.7507548363162716,0.01822305222703146,0.8830733893775028,0.010428007517188946,0.7263356456127541,0.8379745113184619
2,LinearSVC,0.5988208388504955,0.088025997468525,0.81085566229544,0.05317386012964948,0.7203237191188999,0.8374255758243897
2,SGD,0.6421751093283444,0.022390585255788766,0.7835133457350713,0.009145486008546646,0.7545332846537667,0.8401753929764011
2,LDA,0.7495001623837941,0.0036332824660813383,0.878889397628499,0.016468218795904477,0.7203237191188999,0.8103447235646208
2,GaussianNB,0.7188709942811538,0.03432892184342695,0.838950458177627,0.025709553109519345,0.6841304612388951,0.7580572744407696
2,RBF-SVM,0.7809942401258994,0.019419896926774854,0.9017917413795962,0.004919523687832793,0.7504928806133626,0.8487159292174105
2,KNN,0.6948352884169394,0.008762618881185938,0.8147999311972877,0.00849523016016132,0.7565413167822808,0.8417574630085477
2,RandomForest,0.7149954092028423,0.010092822496201928,0.8450447501798397,0.005629751039894187,0.730376049653158,0.838533710429742
2,GradBoosting,0.7065826114596317,0.005852212439027875,0.852827400677555,0.004722717876256053,0.7444566143361323,0.8390224079879253
2,ExtraTrees,0.7392574266832851,0.006867313523711072,0.8647419520538877,0.005556260974355073,0.7485091882682244,0.8495696091348265
2,NN-DeepLinear,0.782041928704877,0.03074155893102498,0.8960812680713278,0.022920025126854343,0.7122185712547159,0.7815851588557688
2,NN-Residual,0.7869095772752518,0.028354722187613753,0.8979689500987239,0.015756797621669424,0.7363392965802604,0.8082338916590018
2,NN-Attention,0.6837352332237243,0.01624085329062766,0.8287732329715811,0.014800765470605947,0.6539126201776804,0.742478354978355
2,NN-Bottleneck,0.775302105115867,0.025587576993389708,0.8839277441790298,0.020693563399382137,0.7686138493367408,0.8400237882842699
2,NN-LayerNorm,0.796789033220442,0.01690302863197171,0.8999928010874486,0.014318398718950397,0.7645734452963368,0.8434357022772904
3,LogisticReg,0.7743554961299969,0.017055749294003022,0.8927390643243056,0.00765297295630774,0.7725690641353292,0.8489852081183352
3,Ridge,0.7731859009407032,0.018526356461673055,0.8945514951996465,0.00730344452707264,0.7343799440184983,0.8399097356544165
3,LinearSVC,0.6427233489757297,0.12183872457544116,0.8306900424379057,0.06604659140628816,0.7203237191188999,0.8374255758243897
3,SGD,0.6849317340257102,0.040160974787740104,0.80501734989212,0.02106658113540061,0.7806255324327612,0.8557754284509502
3,LDA,0.7696162538404199,0.005716969901097098,0.892900781799716,0.0024646372431207015,0.7505172203967385,0.8324591310429234
3,GaussianNB,0.7184134153198745,0.03471010485068551,0.8361878941661484,0.023283808123738862,0.6740537909212608,0.7509269265751276
3,RBF-SVM,0.7892193247943643,0.013344331460308138,0.9077010045374361,0.004399422278211989,0.7605330412559329,0.8539694510282746
3,KNN,0.7168575647958844,0.018648239783897593,0.8332731698729637,0.013419908121995823,0.7364244858220762,0.8258988714930374
3,RandomForest,0.7393443948655628,0.01887690322823021,0.864080313702404,0.017197578064327097,0.7424242424242425,0.8445400591743266
3,GradBoosting,0.7273136235684531,0.027974371021536208,0.8570934484343353,0.02179742519634632,0.7666301569916029,0.8557716846012212
3,ExtraTrees,0.7308752594469796,0.011580404176851553,0.8656591952601088,0.00910634290893676,0.7464768163563344,0.8489000071879133
3,NN-DeepLinear,0.7860777274215267,0.03009152995914998,0.897925106487139,0.011780280596638262,0.7203237191188999,0.7850096166958024
3,NN-Residual,0.8039755364063602,0.032716910306761604,0.910320876274754,0.016477650669308994,0.7705001825483753,0.8414616479503194
3,NN-Attention,0.6778583542575216,0.02298055356092126,0.8227933312394878,0.02417619143271112,0.6317755871972739,0.7156540412631273
3,NN-Bottleneck,0.7969661438426744,0.02927998216985057,0.8989956041137693,0.020885610647122188,0.7605573810393086,0.8325680051018542
