layer,probe,auc_mean,auc_std,ap_mean,ap_std,acc_mean,f1_mean
0,LogisticReg,0.735572828255755,0.060810971364310455,0.8320140877100991,0.043288475387319385,0.6649329112015678,0.7362531969309463
0,Ridge,0.736072545340838,0.04679969654222297,0.8251418090210568,0.03087738393445658,0.6451077943615257,0.7521292828408933
0,LinearSVC,0.7147020459215581,0.023904035791855884,0.8022881518250013,0.011198180826038606,0.6351575456053068,0.7619470086621897
0,SGD,0.6503004854224367,0.07454368436615086,0.708976788617078,0.04650195653729756,0.6548319011005578,0.7043265487709932
0,LDA,0.7452014652014652,0.07823295302895034,0.8382687704689769,0.06194841367389877,0.6650082918739635,0.734920634920635
0,GaussianNB,0.6837517496054083,0.022187263478586853,0.7445357322852632,0.0062860630527317,0.6100557816975728,0.6396793915819791
0,RBF-SVM,0.7428994311921141,0.06401787445646012,0.8375579895575237,0.04592474962425954,0.6651590532187547,0.7732147780534877
0,KNN,0.7119217367997855,0.01353423272606463,0.7700561438098962,0.00836746256173118,0.6652344338911503,0.7310965248541748
0,RandomForest,0.7253628756067781,0.01028396484900859,0.8230015534135425,0.009659942787333111,0.6650836725463591,0.7645745077875388
0,GradBoosting,0.6800887459424044,0.017526679758318807,0.8049539935106965,0.0067986742281621855,0.6299562792100105,0.7265179076724069
0,ExtraTrees,0.7617674737186931,0.036534140899463205,0.8483917579638289,0.03682078921275164,0.6601085481682496,0.7651646856688311
0,NN-DeepLinear,0.75451442866077,0.029920382350720767,0.8415058094466481,0.026219861837476,0.6301070405548018,0.6562853451742341
0,NN-Residual,0.7508931177223861,0.08301035719038002,0.8408305199880574,0.06105051097329556,0.6749585406301825,0.7020613373554551
0,NN-Attention,0.6777140474701451,0.025859683005495314,0.7862692103929504,0.03350414219839842,0.6549826624453491,0.7328349375447777
0,NN-Bottleneck,0.7538407933529884,0.06603915636708128,0.8482872591967654,0.049295084912280025,0.6246796321423187,0.6601795484472621
0,NN-LayerNorm,0.7554894428065161,0.033658427145962164,0.8551568472624395,0.025005644634152824,0.6849841700587969,0.706138405995286
1,LogisticReg,0.7184526043062629,0.015000163302400466,0.8260913468391077,0.009839379756403876,0.6402080506558119,0.7072717816615531
1,Ridge,0.724023347925787,0.02641603324353426,0.8252777341095059,0.001930244435763999,0.6501582994120306,0.7542862122301375
1,LinearSVC,0.7269495815837278,0.03397532035565237,0.8271118794002336,0.0066373060914498155,0.6400572893110206,0.7632742082913904
1,SGD,0.6649158700378213,0.020498224323172033,0.7161499333791101,0.017131818055830077,0.6651590532187547,0.7098574352095479
1,LDA,0.7208862682033415,0.03963862968704332,0.8055694255930955,0.035066978739978216,0.6598824061510628,0.7338892991066904
1,GaussianNB,0.69547336132702,0.010341585641163872,0.7685114141914619,0.01648763990894159,0.6551334237901402,0.7151590602570993
1,RBF-SVM,0.750560469340957,0.04774540718687515,0.8492826822117155,0.04012069111406242,0.6498567767224483,0.7556088942227556
1,KNN,0.6761836266714316,0.0037799421910918118,0.751256939041533,0.020570572628373987,0.6599577868234584,0.7462594894725205
1,RandomForest,0.720866613061735,0.07995853128558145,0.83318799476358,0.046219816222948164,0.6596562641338761,0.7622645985528785
1,GradBoosting,0.6926799487775098,0.025748443174900427,0.7994078963873577,0.039214738423644105,0.6801598070254787,0.7663334884833949
1,ExtraTrees,0.7414789005032908,0.049991855166352614,0.8443517037974049,0.036567774552683716,0.6547565204281622,0.7595402298850574
1,NN-DeepLinear,0.7491950326096667,0.005904977330605505,0.833657145107288,0.019993020352295394,0.7002110658827077,0.7279122204495337
1,NN-Residual,0.7322159683135293,0.02159634520062962,0.8308319580443616,0.01969872075081336,0.6400572893110206,0.7036565977742448
1,NN-Attention,0.7428964531403556,0.05826227544652402,0.8074482424787978,0.03969508461112539,0.6849087893864013,0.7269543258673693
1,NN-Bottleneck,0.7519580690312399,0.029599026852855842,0.8442623418718203,0.03710055377962231,0.6901854364540932,0.717103582455695
1,NN-LayerNorm,0.7643539116709848,0.033005313663182455,0.8627088861433222,0.021017120930780155,0.6701341775968642,0.7129800853485064
2,LogisticReg,0.7106173501295453,0.004871612597199578,0.8120933415716931,0.013576359036875398,0.6449570330167345,0.7235312361170484
2,Ridge,0.7204157360254921,0.01670360879901597,0.8171356457938451,0.005688799597560674,0.6651590532187547,0.7643119057153401
2,LinearSVC,0.7162720748086602,0.021941599246396243,0.8137317160917248,0.010941274612937967,0.639831147293834,0.7650592088687326
2,SGD,0.6169296286369458,0.04509917894012554,0.6851758542256614,0.031845336680921904,0.6302578018995929,0.6918084375341181
2,LDA,0.6984615384615385,0.053361383478863274,0.7851037928865697,0.031350771498436694,0.6697572742348862,0.7407185571812936
2,GaussianNB,0.6723919711724591,0.015366921848925713,0.7409105793979148,0.00243937776850361,0.665083672546359,0.7203919091469292
2,RBF-SVM,0.7287090145626731,0.0663175321271932,0.8281570723830765,0.06286609743045196,0.6448816523443389,0.7546872334292253
