layer,probe,auc_mean,auc_std,ap_mean,ap_std,acc_mean,f1_mean
0,LogisticReg,0.7144700388757318,0.03313281584459502,0.9092291878965599,0.0022083612384598745,0.8439747012000097,0.9111763426831919
0,Ridge,0.6947466871223518,0.042001422433670145,0.9003549835570951,0.014574950597490933,0.831998653295818,0.9082960669647976
0,LinearSVC,0.48510135990586417,0.12536484757021465,0.8379630308930297,0.06066944823936085,0.831998653295818,0.9082960669647976
0,SGD,0.6176251545347573,0.01170716471715102,0.866318847296106,0.0039222048763685475,0.8379987013923959,0.9070024613847965
0,LDA,0.6348194736136556,0.07245475602589439,0.8800848722380644,0.03125194075940987,0.8099343481711276,0.8881649548157258
0,GaussianNB,0.5729382332643201,0.014773160188642435,0.8651250520378241,0.008455199239086608,0.36797489358632135,0.4230049718054976
0,RBF-SVM,0.7337229595205823,0.03378797343963535,0.9169386101906895,0.007940380882755522,0.831998653295818,0.9082960669647976
0,KNN,0.6379595081698617,0.0396387678126958,0.874357580878141,0.012365288783965834,0.8379866772479138,0.9104797847331506
0,RandomForest,0.6436115083088808,0.051069474829755504,0.8937655653891156,0.021464476642914534,0.83399466127985,0.909288959568105
0,GradBoosting,0.6926707081539738,0.03405816150834475,0.9048275895071974,0.0075506614498780005,0.8299906211673039,0.9060813058049991
0,ExtraTrees,0.6801152245905139,0.01644187867527076,0.9040991928812993,0.0036812280951795564,0.8359906692638819,0.9102818521714121
0,NN-DeepLinear,0.7743668419301826,0.014934677819335575,0.9406219374500955,0.005871042395417955,0.7018252651323859,0.7890566897218504
0,NN-Residual,0.7425935028374816,0.01359465409833376,0.9228590896264305,0.012227709253089115,0.7900223649087369,0.8704284257033654
0,NN-Attention,0.6498695453575029,0.02142583608965,0.8922904786900343,0.009044260287635324,0.6619772503186399,0.7690272690272689
0,NN-Bottleneck,0.7227423030519683,0.04996270099195984,0.9145254520435957,0.01640420777201054,0.7418536421133637,0.8316687386131519
0,NN-LayerNorm,0.7313906638664224,0.0303925011923374,0.9123904864371181,0.01810051742237868,0.7599740278479187,0.8457489113853165
1,LogisticReg,0.702099190213047,0.025866603764981653,0.8992710186133387,0.017531098029985356,0.8419907173604598,0.9092775577989433
1,Ridge,0.7087305311030678,0.018694493164313458,0.9066029225602991,0.011758266400755103,0.831998653295818,0.9082960669647976
1,LinearSVC,0.6126539761979236,0.11127142581411943,0.888915289164323,0.0368744135438418,0.831998653295818,0.9082960669647976
1,SGD,0.5689187780210614,0.022604598790634388,0.8517906094732112,0.006788727183776914,0.8360026934083639,0.9078331671514214
1,LDA,0.6458299199149997,0.0473132322947013,0.8821815536978153,0.016156964357624034,0.7619940841209148,0.8545345732352647
1,GaussianNB,0.609173530740625,0.031050063749861398,0.8744265371383738,0.010621656228021765,0.4200274150494192,0.4944871597482538
1,RBF-SVM,0.7470501859382059,0.028047664181960648,0.914624877920927,0.017573852822680616,0.8359906692638819,0.9102818521714121
1,KNN,0.64404439181574,0.02957327630732858,0.875672950559125,0.01009404974722119,0.8379987013923959,0.9100909826967989
