layer,probe,auc_mean,auc_std,ap_mean,ap_std,acc_mean,f1_mean
0,LogisticReg,0.4504023831754924,0.029948669867835474,0.7076256845194436,0.01880997521433253,0.6701341775968642,0.7966498619014342
0,Ridge,0.4140767418078342,0.0342185314851036,0.692874143397613,0.027813166767971395,0.7350369365294739,0.8472763618190905
0,LinearSVC,0.4259926192699302,0.07812533077930292,0.7251989591087442,0.06752355923655531,0.7350369365294739,0.8472763618190905
0,SGD,0.45602685518651903,0.03944754223663016,0.7190071836836852,0.015044721394098516,0.5447761194029851,0.6740167331300336
0,LDA,0.5384598283757948,0.06180196298910913,0.7748669895815471,0.03512436013402846,0.7150610583446403,0.8308575642646439
0,GaussianNB,0.4844382197323373,0.03883333502853115,0.7440348485538437,0.043085043305391604,0.5050505050505051,0.5921463632307006
0,RBF-SVM,0.5140056022408963,0.042160991002695915,0.7394623989459229,0.038720037785624106,0.7350369365294739,0.8472763618190905
0,KNN,0.40665154950869237,0.009318842030187421,0.7042216082430109,0.013010321433609594,0.6050806573194633,0.744520030234316
0,RandomForest,0.5342803788181939,0.015066202073726463,0.7502933118697795,0.018480443439878137,0.7150610583446403,0.8308919822077717
0,GradBoosting,0.5443733048775065,0.03983055203084299,0.7540995701663175,0.026183612309950137,0.6999095431931251,0.8156637700169428
0,ExtraTrees,0.5421057311813614,0.02962938076286504,0.77275812407593,0.03708897728884213,0.7101613146389266,0.830175983436853
0,NN-DeepLinear,0.5520541549953315,0.041512155717056104,0.7864366435149934,0.040725459355732394,0.5100256294286145,0.6036396294195501
0,NN-Residual,0.5430839002267573,0.06297026704840913,0.7743457774270363,0.02353966230849562,0.5745514849992462,0.6784825622396977
0,NN-Attention,0.5449290827442087,0.025130640438327544,0.7799375794384522,0.011025527026873965,0.6449570330167345,0.7561574090036661
0,NN-Bottleneck,0.5513983371126229,0.0005344722457948298,0.7726194485122804,0.01988570215492331,0.6049298959746721,0.710158229040272
0,NN-LayerNorm,0.5036236716908985,0.050354294274202065,0.7520877405082524,0.03964212301494723,0.5949042665460577,0.7111771924856036
1,LogisticReg,0.5215419501133787,0.04880115027510705,0.7414137676652336,0.013946476790636054,0.710236695311322,0.8198161470694024
1,Ridge,0.4583388911120004,0.050690227251497605,0.7269181884675794,0.020635966250577512,0.7400874415799789,0.8497680984069369
1,LinearSVC,0.44357743097238894,0.03227971629393706,0.7032500695224897,0.015239625135014282,0.7350369365294739,0.8472763618190905
1,SGD,0.5291338757725312,0.019808004259026173,0.746754406749904,0.01001106358659853,0.5999547715965626,0.7140888227114431
1,LDA,0.6255391045307012,0.027611652992299226,0.8308249624969187,0.006712105556656254,0.7349615558570782,0.8417883001953799
1,GaussianNB,0.4800364590280557,0.06115975608802376,0.7308800381654225,0.042428310653986896,0.5098748680838233,0.6227673165194504
1,RBF-SVM,0.4728335778755947,0.0537652694554063,0.7149195230703799,0.04030693097074221,0.7350369365294739,0.8472763618190905
1,KNN,0.47165532879818595,0.03653714976036738,0.72562548408641,0.017279660156528293,0.6552088044625358,0.7850145661466416
1,RandomForest,0.5528322440087147,0.029277470697502746,0.7643791701256001,0.009834897168480792,0.7152118196894316,0.8324231672689023
1,GradBoosting,0.4587390511760259,0.06807715443826022,0.7311171825955026,0.047172256327452186,0.6950851801598071,0.8167797577556447
1,ExtraTrees,0.4815592903828198,0.050047574399738774,0.7408826368057518,0.040048408127422976,0.7201115633951455,0.8371726417493007
1,NN-DeepLinear,0.581299186341203,0.058388743515636034,0.7915240110052763,0.022622499470614916,0.5594753505201266,0.6333333333333333
1,NN-Residual,0.5599795473745054,0.027025447272232057,0.7925838453202965,0.016599283965737444,0.5498266244534902,0.6398133394796354
1,NN-Attention,0.5704059401538393,0.0442991205874081,0.7816088523862437,0.04078407993867872,0.5949042665460577,0.6961940729382589
1,NN-Bottleneck,0.5883242185763194,0.07761768840994063,0.7995913150539593,0.03417131969900956,0.6350067842605155,0.7381547489676157
1,NN-LayerNorm,0.6025521319638968,0.041553408568964126,0.8296769663858785,0.012770178309180312,0.589401477461179,0.6856128293241696
2,LogisticReg,0.5496865412831798,0.034900612685778896,0.7644795345850907,0.013189820134458146,0.7101613146389266,0.8205310784750037
2,Ridge,0.5407718643012761,0.02968387473486607,0.7665137325187222,0.004327780674849844,0.725086687773255,0.8386045599197872
2,LinearSVC,0.49982215108265526,0.0023788331509306884,0.7433377723593756,0.023376721956450092,0.7350369365294739,0.8472763618190905
2,SGD,0.5383931350317904,0.02376577383862303,0.7506558013569137,0.0087545519132024,0.6048545153022765,0.7158092202466921
2,LDA,0.6089546929883064,0.015157382008773595,0.8183989248172004,0.01542426232686234,0.7198100407055631,0.8277914277914279
2,GaussianNB,0.5102485438619891,0.046577119219908245,0.7423106630649491,0.027895307468439493,0.5801296547565205,0.705346764372159
2,RBF-SVM,0.47850251211595746,0.07302533044173092,0.724556963701828,0.05165093211494449,0.7350369365294739,0.8472763618190905
2,KNN,0.564592503668134,0.05413224609696413,0.7753786039327947,0.019447654764461367,0.6948590381426203,0.814381047714381
2,RandomForest,0.5681161353430261,0.07672696204158218,0.7878248080066306,0.03611462395490725,0.7251620684456505,0.8384291732749083
2,GradBoosting,0.5975501311635766,0.0567822272399089,0.8095336385130382,0.038941339483992574,0.6897331524197196,0.811828975622079
2,ExtraTrees,0.557156195811658,0.0596017884129139,0.7803962740896134,0.040495033697495325,0.7300618121513643,0.8439280359820089
2,NN-DeepLinear,0.6258725712507225,0.04484175091767405,0.8176541443126917,0.026034821666173213,0.549675863108699,0.6449630269854989
2,NN-Residual,0.5752300920368146,0.052872891480442455,0.8143920333522982,0.015512418963036161,0.5949042665460577,0.7038840788840789
2,NN-Attention,0.5864790360588681,0.027716432137195074,0.7781780968286064,0.034746784934772554,0.5999547715965626,0.7015397419891802
2,NN-Bottleneck,0.6216264283491174,0.05196093036185194,0.8278895865000436,0.015983203326504464,0.6246042514699232,0.7421269904768254
2,NN-LayerNorm,0.6269841269841271,0.05366857221424997,0.828264262143387,0.033234096535203754,0.6450324136891301,0.7585195308339686
3,LogisticReg,0.5944600062247121,0.06078612832066034,0.8016698480440909,0.03427850304077956,0.7151364390170359,0.82655661437969
3,Ridge,0.608087679516251,0.05515950374887665,0.8147630345475286,0.019207057487190513,0.73013719282376,0.8419684268141618
3,LinearSVC,0.5253212396069539,0.03165592077304904,0.764024563484349,0.014832801071136931,0.7350369365294739,0.8472763618190905
3,SGD,0.5959828375794761,0.06623036544303326,0.7763753066810949,0.028643019048551398,0.6446555103271522,0.738264214018301
3,LDA,0.6213151927437641,0.02454502325189647,0.8084371224334999,0.013734079356616106,0.7399366802351878,0.8383321571394967
3,GaussianNB,0.5310457516339868,0.05123434458424552,0.7519440768973876,0.030532623402487045,0.5850293984622343,0.6962717710489893
3,RBF-SVM,0.4873504957538571,0.11810824866387164,0.7263004339215736,0.07069504209562039,0.7350369365294739,0.8472763618190905
3,KNN,0.5073140367258014,0.02822626332754061,0.751142243302069,0.020532497089355853,0.6649329112015678,0.7937923347337735
